Year,Rank,Title,Artist,Artist_cloud,count,size,genres,popularity,first_year,year_range,range_count
2018,99,Mi Gente,Willy William,Willy~William,2,138,['francoton'],69,2003,2000-2010,476
2015,19,Where Are ?? Now,Diplo,Diplo,2,160,"['edm', 'electro house', 'house', 'moombahton', 'pop', 'pop dance', 'tropical house']",80,2003,2000-2010,476
2019,58,Close to Me,Diplo,Diplo,2,160,"['edm', 'electro house', 'house', 'moombahton', 'pop', 'pop dance', 'tropical house']",80,2003,2000-2010,476
2012,60,Not Over You,Gavin DeGraw,Gavin~DeGraw,1,65,"['neo mellow', 'pop rock']",65,2003,2000-2010,476
2022,24,We Don't Talk About Bruno,Adassa,Adassa,1,63,"['latin hip hop', 'reggaeton']",63,2003,2000-2010,476
2013,89,Mama's Broken Heart,Miranda Lambert,Miranda~Lambert,3,222,"['contemporary country', 'country', 'country dawn']",74,2003,2000-2010,476
2014,99,Somethin' Bad,Miranda Lambert,Miranda~Lambert,3,222,"['contemporary country', 'country', 'country dawn']",74,2003,2000-2010,476
2020,91,Bluebird,Miranda Lambert,Miranda~Lambert,3,222,"['contemporary country', 'country', 'country dawn']",74,2003,2000-2010,476
2012,1,Somebody That I Used to Know,Gotye,Gotye,1,70,['australian pop'],70,2003,2000-2010,476
2014,48,The Man,Aloe Blacc,Aloe~Blacc,1,68,"['neo soul', 'pop soul', 'r&b']",68,2003,2000-2010,476
2012,70,Blown Away,Carrie Underwood,Carrie~Underwood,4,296,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'pop']",74,2003,2000-2010,476
2012,66,Good Girl,Carrie Underwood,Carrie~Underwood,4,296,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'pop']",74,2003,2000-2010,476
2014,99,Somethin' Bad,Carrie Underwood,Carrie~Underwood,4,296,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'pop']",74,2003,2000-2010,476
2021,85,If I Didn't Love You,Carrie Underwood,Carrie~Underwood,4,296,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'pop']",74,2003,2000-2010,476
2014,79,Drunk on a Plane,Dierks Bentley,Dierks~Bentley,1,72,"['contemporary country', 'country', 'country road']",72,2003,2000-2010,476
2013,87,U.O.E.N.O.,Rocko,Rocko,1,50,"['atl hip hop', 'atl trap', 'dirty south rap', 'gangster rap', 'houston rap', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",50,2003,2000-2010,476
2014,58,My Hitta,YG,YG,2,154,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77,2003,2000-2010,476
2018,63,Big Bank,YG,YG,2,154,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77,2003,2000-2010,476
2012,77,Heart Attack,Trey Songz,Trey~Songz,3,216,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",72,2004,2000-2010,476
2014,53,Na Na,Trey Songz,Trey~Songz,3,216,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",72,2004,2000-2010,476
2015,64,Slow Motion,Trey Songz,Trey~Songz,3,216,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",72,2004,2000-2010,476
2013,96,Brave,Sara Bareilles,Sara~Bareilles,2,136,"['acoustic pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']",68,2004,2000-2010,476
2014,74,Brave,Sara Bareilles,Sara~Bareilles,2,136,"['acoustic pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']",68,2004,2000-2010,476
2012,16,Good Feeling,Flo Rida,Flo~Rida,6,486,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81,2004,2000-2010,476
2012,17,Whistle,Flo Rida,Flo~Rida,6,486,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81,2004,2000-2010,476
2012,11,Wild Ones,Flo Rida,Flo~Rida,6,486,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81,2004,2000-2010,476
2013,64,I Cry,Flo Rida,Flo~Rida,6,486,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81,2004,2000-2010,476
2015,32,G.D.F.R.,Flo Rida,Flo~Rida,6,486,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81,2004,2000-2010,476
2016,14,My House,Flo Rida,Flo~Rida,6,486,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81,2004,2000-2010,476
2021,60,Essence,Wizkid,Wizkid,2,160,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",80,2004,2000-2010,476
2022,64,Essence,Wizkid,Wizkid,2,160,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",80,2004,2000-2010,476
2019,64,The London,Young Thug,Young~Thug,4,348,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",87,2004,2000-2010,476
2020,39,Go Crazy,Young Thug,Young~Thug,4,348,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",87,2004,2000-2010,476
2020,72,Hot,Young Thug,Young~Thug,4,348,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",87,2004,2000-2010,476
2021,19,Go Crazy,Young Thug,Young~Thug,4,348,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",87,2004,2000-2010,476
2019,61,"Hey Look Ma, I Made It",Panic! at the Disco,Panic!~at~the~Disco,2,162,['modern rock'],81,2005,2000-2010,476
2019,11,High Hopes,Panic! at the Disco,Panic!~at~the~Disco,2,162,['modern rock'],81,2005,2000-2010,476
2012,98,Fly Over States,Jason Aldean,Jason~Aldean,7,532,"['contemporary country', 'country', 'country road']",76,2005,2000-2010,476
2012,88,Take a Little Ride,Jason Aldean,Jason~Aldean,7,532,"['contemporary country', 'country', 'country road']",76,2005,2000-2010,476
2014,63,Burnin' It Down,Jason Aldean,Jason~Aldean,7,532,"['contemporary country', 'country', 'country road']",76,2005,2000-2010,476
2018,70,You Make It Easy,Jason Aldean,Jason~Aldean,7,532,"['contemporary country', 'country', 'country road']",76,2005,2000-2010,476
2020,60,Got What I Got,Jason Aldean,Jason~Aldean,7,532,"['contemporary country', 'country', 'country road']",76,2005,2000-2010,476
2021,85,If I Didn't Love You,Jason Aldean,Jason~Aldean,7,532,"['contemporary country', 'country', 'country road']",76,2005,2000-2010,476
2022,88,Trouble with a Heartbreak,Jason Aldean,Jason~Aldean,7,532,"['contemporary country', 'country', 'country road']",76,2005,2000-2010,476
2013,100,Still Into You,Paramore,Paramore,2,166,"['candy pop', 'pixie', 'pop emo', 'pop punk']",83,2005,2000-2010,476
2014,47,Ain't It Fun,Paramore,Paramore,2,166,"['candy pop', 'pixie', 'pop emo', 'pop punk']",83,2005,2000-2010,476
2012,51,Ass Back Home,Gym Class Heroes,Gym~Class~Heroes,2,142,"['dance pop', 'pop rap']",71,2005,2000-2010,476
2012,61,Stereo Hearts,Gym Class Heroes,Gym~Class~Heroes,2,142,"['dance pop', 'pop rap']",71,2005,2000-2010,476
2017,83,Both,Gucci Mane,Gucci~Mane,4,320,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2005,2000-2010,476
2017,93,I Get the Bag,Gucci Mane,Gucci~Mane,4,320,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2005,2000-2010,476
2018,72,I Get the Bag,Gucci Mane,Gucci~Mane,4,320,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2005,2000-2010,476
2019,51,Wake Up in the Sky,Gucci Mane,Gucci~Mane,4,320,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2005,2000-2010,476
2012,79,Birthday Cake,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2012,94,Diamonds,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2012,8,We Found Love,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2012,21,Where Have You Been,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2012,89,You da One,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2013,27,Diamonds,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2013,70,Pour It Up,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2013,13,Stay,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2015,48,Bitch Better Have My Money,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2015,42,FourFiveSeconds,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2016,13,Needed Me,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2016,4,Work,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2017,33,Love on the Brain,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2018,83,Lemon,Rihanna,Rihanna,14,1330,"['barbadian pop', 'pop', 'urban contemporary']",95,2005,2000-2010,476
2020,73,I Hope You're Happy Now,Carly Pearce,Carly~Pearce,1,67,"['contemporary country', 'country', 'country road']",67,2006,2000-2010,476
2012,42,Feel So Close,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2014,33,Summer,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2012,65,Let's Go,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2013,56,I Need Your Love,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2013,44,Sweet Nothing,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2015,100,How Deep Is Your Love,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2016,17,This Is What You Came For,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2017,74,Feels,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2017,71,Slide,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2018,68,One Kiss,Calvin Harris,Calvin~Harris,10,880,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",88,2006,2000-2010,476
2012,33,We Are Never Ever Getting Back Together,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2013,71,22,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2013,16,I Knew You Were Trouble,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2014,13,Shake It Off,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2015,15,Bad Blood,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2015,7,Blank Space,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2015,18,Shake It Off,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2015,29,Style,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2015,57,Wildest Dreams,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2016,79,Wildest Dreams,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2017,26,I Don't Wanna Live Forever,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2017,39,Look What You Made Me Do,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2018,24,Delicate,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2019,43,Me!,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2019,39,You Need to Calm Down,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2021,55,Willow,Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2022,76,All Too Well (Taylor's Version),Taylor Swift,Taylor~Swift,17,1683,['pop'],99,2006,2000-2010,476
2021,69,Famous Friends,Chris Young,Chris~Young,1,69,"['contemporary country', 'country', 'country road', 'modern country rock']",69,2006,2000-2010,476
2012,73,"Work Hard, Play Hard",Wiz Khalifa,Wiz~Khalifa,5,420,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",84,2006,2000-2010,476
2012,32,"Young, Wild & Free",Wiz Khalifa,Wiz~Khalifa,5,420,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",84,2006,2000-2010,476
2015,3,See You Again,Wiz Khalifa,Wiz~Khalifa,5,420,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",84,2006,2000-2010,476
2016,99,See You Again,Wiz Khalifa,Wiz~Khalifa,5,420,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",84,2006,2000-2010,476
2016,68,Sucker for Pain,Wiz Khalifa,Wiz~Khalifa,5,420,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",84,2006,2000-2010,476
2019,78,Only Human,Jonas Brothers,Jonas~Brothers,4,312,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,2006,2000-2010,476
2019,10,Sucker,Jonas Brothers,Jonas~Brothers,4,312,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,2006,2000-2010,476
2020,77,Only Human,Jonas Brothers,Jonas~Brothers,4,312,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,2006,2000-2010,476
2021,63,Leave Before You Love Me,Jonas Brothers,Jonas~Brothers,4,312,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78,2006,2000-2010,476
2014,91,Beachin',Jake Owen,Jake~Owen,1,67,"['contemporary country', 'country', 'country road']",67,2006,2000-2010,476
2017,15,Unforgettable,French Montana,French~Montana,1,77,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77,2006,2000-2010,476
2016,34,Broccoli,DRAM,DRAM,2,134,"['dirty south rap', 'gangster rap', 'hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",67,2006,2000-2010,476
2017,70,Broccoli,DRAM,DRAM,2,134,"['dirty south rap', 'gangster rap', 'hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",67,2006,2000-2010,476
2017,45,Feel It Still,Portugal. The Man,Portugal.~The~Man,2,134,"['modern alternative rock', 'modern rock', 'rock']",67,2006,2000-2010,476
2018,33,Feel It Still,Portugal. The Man,Portugal.~The~Man,2,134,"['modern alternative rock', 'modern rock', 'rock']",67,2006,2000-2010,476
2012,58,Springsteen,Eric Church,Eric~Church,2,146,"['contemporary country', 'country', 'country road']",73,2006,2000-2010,476
2021,91,Hell of a View,Eric Church,Eric~Church,2,146,"['contemporary country', 'country', 'country road']",73,2006,2000-2010,476
2013,17,We Can't Stop,Miley Cyrus,Miley~Cyrus,5,460,['pop'],92,2006,2000-2010,476
2013,18,Wrecking Ball,Miley Cyrus,Miley~Cyrus,5,460,['pop'],92,2006,2000-2010,476
2014,100,Adore You,Miley Cyrus,Miley~Cyrus,5,460,['pop'],92,2006,2000-2010,476
2014,44,Wrecking Ball,Miley Cyrus,Miley~Cyrus,5,460,['pop'],92,2006,2000-2010,476
2017,89,Malibu,Miley Cyrus,Miley~Cyrus,5,460,['pop'],92,2006,2000-2010,476
2015,69,All Eyes on You,Meek Mill,Meek~Mill,2,156,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",78,2007,2000-2010,476
2019,18,Going Bad,Meek Mill,Meek~Mill,2,156,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",78,2007,2000-2010,476
2012,27,Mercy,Big Sean,Big~Sean,2,160,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2007,2000-2010,476
2017,35,Bounce Back,Big Sean,Big~Sean,2,160,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2007,2000-2010,476
2012,57,Dance (A$$),Big Sean ,Big~Sean,3,240,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2007,2000-2010,476
2015,88,Blessings,Big Sean ,Big~Sean,3,240,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2007,2000-2010,476
2015,47,I Don't Fuck with You,Big Sean ,Big~Sean,3,240,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,2007,2000-2010,476
2012,31,Part of Me,Katy Perry,Katy~Perry,9,783,"['dance pop', 'pop']",87,2007,2000-2010,476
2012,41,The One That Got Away,Katy Perry,Katy~Perry,9,783,"['dance pop', 'pop']",87,2007,2000-2010,476
2012,15,Wide Awake,Katy Perry,Katy~Perry,9,783,"['dance pop', 'pop']",87,2007,2000-2010,476
2013,10,Roar,Katy Perry,Katy~Perry,9,783,"['dance pop', 'pop']",87,2007,2000-2010,476
2014,80,Birthday,Katy Perry,Katy~Perry,9,783,"['dance pop', 'pop']",87,2007,2000-2010,476
2014,2,Dark Horse,Katy Perry,Katy~Perry,9,783,"['dance pop', 'pop']",87,2007,2000-2010,476
2014,46,Roar,Katy Perry,Katy~Perry,9,783,"['dance pop', 'pop']",87,2007,2000-2010,476
2017,73,Chained to the Rhythm,Katy Perry,Katy~Perry,9,783,"['dance pop', 'pop']",87,2007,2000-2010,476
2019,65,Con Calma,Katy Perry,Katy~Perry,9,783,"['dance pop', 'pop']",87,2007,2000-2010,476
2018,77,Eastside,Benny Blanco,Benny~Blanco,3,228,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap']",76,2007,2000-2010,476
2019,17,Eastside,Benny Blanco,Benny~Blanco,3,228,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap']",76,2007,2000-2010,476
2021,65,Lonely,Benny Blanco,Benny~Blanco,3,228,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap']",76,2007,2000-2010,476
2012,95,Hard to Love,Lee Brice,Lee~Brice,5,360,"['contemporary country', 'country', 'country road']",72,2007,2000-2010,476
2014,98,I Don't Dance,Lee Brice,Lee~Brice,5,360,"['contemporary country', 'country', 'country road']",72,2007,2000-2010,476
2019,81,Rumor,Lee Brice,Lee~Brice,5,360,"['contemporary country', 'country', 'country road']",72,2007,2000-2010,476
2020,73,I Hope You're Happy Now,Lee Brice,Lee~Brice,5,360,"['contemporary country', 'country', 'country road']",72,2007,2000-2010,476
2020,68,One of Them Girls,Lee Brice,Lee~Brice,5,360,"['contemporary country', 'country', 'country road']",72,2007,2000-2010,476
2015,20,Fight Song,Rachel Platten,Rachel~Platten,1,65,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",65,2007,2000-2010,476
2014,88,Come with Me Now,KONGOS,KONGOS,1,55,"['modern alternative rock', 'modern blues rock', 'modern rock', 'south african rock']",55,2007,2000-2010,476
2015,95,Waves (Robin Schulz Remix),Mr Probz,Mr~Probz,1,66,"['dutch hip hop', 'tropical house']",66,2007,2000-2010,476
2013,63,Counting Stars,OneRepublic,OneRepublic,4,344,"['piano rock', 'pop']",86,2007,2000-2010,476
2014,5,Counting Stars,OneRepublic,OneRepublic,4,344,"['piano rock', 'pop']",86,2007,2000-2010,476
2014,67,Love Runs Out,OneRepublic,OneRepublic,4,344,"['piano rock', 'pop']",86,2007,2000-2010,476
2022,37,I Ain't Worried,OneRepublic,OneRepublic,4,344,"['piano rock', 'pop']",86,2007,2000-2010,476
2012,38,Good Time,Owl City,Owl~City,1,71,"['indietronica', 'pop', 'pop rock']",71,2007,2000-2010,476
2021,53,Starting Over,Chris Stapleton,Chris~Stapleton,2,160,"['contemporary country', 'outlaw country']",80,2007,2000-2010,476
2022,79,You Should Probably Leave,Chris Stapleton,Chris~Stapleton,2,160,"['contemporary country', 'outlaw country']",80,2007,2000-2010,476
2013,66,The Other Side,Jason Derulo,Jason~Derulo,7,574,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",82,2007,2000-2010,476
2014,6,Talk Dirty,Jason Derulo,Jason~Derulo,7,574,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",82,2007,2000-2010,476
2014,61,Trumpets,Jason Derulo,Jason~Derulo,7,574,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",82,2007,2000-2010,476
2014,40,Wiggle,Jason Derulo,Jason~Derulo,7,574,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",82,2007,2000-2010,476
2015,17,Want to Want Me,Jason Derulo,Jason~Derulo,7,574,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",82,2007,2000-2010,476
2017,85,Swalla,Jason Derulo,Jason~Derulo,7,574,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",82,2007,2000-2010,476
2020,35,Savage Love (Laxed ??€? Siren Beat),Jason Derulo,Jason~Derulo,7,574,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']",82,2007,2000-2010,476
2012,53,Drunk on You,Luke Bryan,Luke~Bryan,9,702,"['contemporary country', 'country', 'country road']",78,2007,2000-2010,476
2012,93,I Don't Want This Night to End,Luke Bryan,Luke~Bryan,9,702,"['contemporary country', 'country', 'country road']",78,2007,2000-2010,476
2013,69,Crash My Party,Luke Bryan,Luke~Bryan,9,702,"['contemporary country', 'country', 'country road']",78,2007,2000-2010,476
2013,78,That's My Kind of Night,Luke Bryan,Luke~Bryan,9,702,"['contemporary country', 'country', 'country road']",78,2007,2000-2010,476
2014,64,Play It Again,Luke Bryan,Luke~Bryan,9,702,"['contemporary country', 'country', 'country road']",78,2007,2000-2010,476
2015,87,Kick the Dust Up,Luke Bryan,Luke~Bryan,9,702,"['contemporary country', 'country', 'country road']",78,2007,2000-2010,476
2019,79,Knockin' Boots,Luke Bryan,Luke~Bryan,9,702,"['contemporary country', 'country', 'country road']",78,2007,2000-2010,476
2020,70,One Margarita,Luke Bryan,Luke~Bryan,9,702,"['contemporary country', 'country', 'country road']",78,2007,2000-2010,476
2022,49,Buy Dirt,Luke Bryan,Luke~Bryan,9,702,"['contemporary country', 'country', 'country road']",78,2007,2000-2010,476
2013,97,Let Her Go,Passenger,Passenger,2,146,"['folk-pop', 'neo mellow']",73,2007,2000-2010,476
2014,19,Let Her Go,Passenger,Passenger,2,146,"['folk-pop', 'neo mellow']",73,2007,2000-2010,476
2012,45,Rack City,Tyga,Tyga,4,332,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",83,2007,2000-2010,476
2015,86,Ayo,Tyga,Tyga,4,332,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",83,2007,2000-2010,476
2018,28,Taste,Tyga,Tyga,4,332,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",83,2007,2000-2010,476
2020,87,Juicy,Tyga,Tyga,4,332,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",83,2007,2000-2010,476
2013,73,The Fox (What Does the Fox Say?),Ylvis,Ylvis,1,53,['comic'],53,2007,2000-2010,476
2013,19,Wake Me Up,Avicii,Avicii,3,252,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",84,2008,2000-2010,476
2014,60,Hey Brother,Avicii,Avicii,3,252,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",84,2008,2000-2010,476
2014,22,Wake Me Up,Avicii,Avicii,3,252,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",84,2008,2000-2010,476
2013,31,The Way,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2014,27,Bang Bang,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2014,37,Break Free,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2014,9,Problem,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2015,80,Bang Bang,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2015,56,Love Me Harder,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2015,67,One Last Time,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2016,36,Dangerous Woman,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2016,51,Into You,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2016,77,Side to Side,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2017,43,Side to Side,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2018,62,God Is a Woman,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2018,20,No Tears Left to Cry,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2019,7,7 Rings,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2019,98,Boyfriend,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2019,36,"Break Up with Your Girlfriend, I'm Bored",Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2019,72,Breathin,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2019,12,"Thank U, Next",Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
2020,48,Rain on Me,Ariana Grande,Ariana~Grande,25,2300,"['dance pop', 'pop']",92,2008,2000-2010,476
