Year,Rank,Title,Artist,Lyrics
2016,7,Hello,Adele,"TranslationsTürkçePortuguêsPortuguêsEspañolHello Lyrics[Verse 1]
Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

[Pre-Chorus]
There's such a difference between us
And a million miles
[Chorus]
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

[Verse 2]
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?

[Pre-Chorus]
It's no secret that the both of us
Are running out of time
[Chorus]
So hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least, I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
See Adele LiveGet tickets as low as $1,295You might also like[Bridge]
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Anymore
[Chorus]
Hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least, I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
[Produced by Greg Kurstin]
[Music Video]260Embed"
2016,8,Don't Let Me Down,The Chainsmokers feat Daya,"TranslationsPortuguêsDon’t Let Me Down Lyrics[Verse 1]
Crashin', hit a wall
Right now, I need a miracle
Hurry up now, I need a miracle
Stranded, reachin' out
I call your name, but you're not around
I say your name, but you're not around

[Chorus]
I need ya, I need ya, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losin' my mind now
It's in my head, darlin', I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-Don't let me down
[Drop]
Don't let me down
Don't let me down, down, down
Don't let me down
Don't let me down, down, down

[Verse 2]
R-R-Runnin' outta time
I really thought you were on my side
But now there's nobody by my side

[Chorus]
I need ya, I need ya, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losin' my mind now
It's in my head, darlin', I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-Don't let me down

[Drop]
Don't let me down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down
Don't let me down, down, down
See The Chainsmokers LiveGet tickets as low as $70You might also like[Bridge]
Ooh, I think I'm losin' my mind now, yeah
Ooh, I think I'm losin' my mind now, yeah

[Chorus]
I need ya, I need ya, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losin' my mind now
It's in my head, darlin', I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down

[Drop]
Yeah, don't let me down
Yeah, don't let me down
Don't let me down, oh, no
Said don't let me down
Don't let me down, no, oh

[Outro]
Don't let me down
Don't let me down, down, down63Embed"
2016,9,Can't Stop the Feeling!,Justin Timberlake,"TranslationsPortuguêsРусскийCAN’T STOP THE FEELING! Lyrics[Verse 1]
I got this feelin' inside my bones
It goes electric, wavey when I turn it on
All through my city, all through my home
We're flyin' up, no ceilin', when we in our zone

[Refrain]
I got that sunshine in my pocket, got that good soul in my feet
I feel that hot blood in my body when it drops (Ooh)
I can't take my eyes up off it, movin' so phenomenally
Room on lock, the way we rock it, so don't stop
[Pre-Chorus]
And under the lights when everything goes
Nowhere to hide when I'm gettin' you close
When we move, well, you already know
So just imagine (Just imagine, just imagine)

[Chorus]
Nothin' I can see but you
When you dance, dance, dance
A feelin' good, good, creepin' up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leavin' soon, so keep dancin'

[Post-Chorus]
I can't stop the feelin'
So just dance, dance, dance
I can't stop the feelin'
So just dance, dance, dance, come on

[Verse 2]
Ooh, it's somethin' magical
It's in the air, it's in my blood, it's rushin' on (Rushin' on)
I don't need no reason, don't need control (Need control)
I fly so high, no ceilin', when I'm in my zone
You might also like[Refrain]
'Cause I got that sunshine in my pocket, got that good soul in my feet
I feel that hot blood in my body when it drops (Ooh)
I can't take my eyes up off it, movin' so phenomenally
Room on lock, the way we rock it, so don't stop

[Pre-Chorus]
And under the lights when everything goes
Nowhere to hide when I'm gettin' you close
When we move, well, you already know
So just imagine (Just imagine, just imagine)

[Chorus]
Nothin' I can see but you
When you dance, dance, dance
A feelin' good, good, creepin' up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance (No, no, no)
And ain't nobody leavin' soon, so keep dancin'

[Post-Chorus]
I can't stop the feelin'
So just dance, dance, dance
I can't stop the feelin'
So just dance, dance, dance, come on
I can't stop the feelin' (Woo)
So just dance, dance, dance
I can't stop the feelin' (Yeah)
So keep dancin', come on
[Bridge]
Oh
Yeah, oh
I can't stop the
I can't stop the
I can't stop the, I can't stop the

[Chorus]
(I can't stop the feelin')
Nothin' I can see but you
When you dance, dance, dance
(I can't stop the feelin')
A feelin' good, good, creepin' up on you
So just dance, dance, dance, come on (Oh)
(I can't stop the feelin')
All those things I shouldn't do
But you dance, dance, dance (Dance, dance, dance)
(I can't stop the feelin')
And ain't nobody leavin' soon, so keep dancin'
(I can't stop the feelin')

[Outro]
Everybody sing
Got this feelin' in my body
(I can't stop the feelin')
Got this feelin' in my body (Oh, no)
(I can't stop the feelin')
Wanna see you move your body (No, no, no)
(I can't stop the feelin')
Got this feelin' in my body, come on
Break it down
Got this feelin' in my body (Uh)
I can't stop the feelin'
Got this feeling in my body, come on (Ooh)38Embed"
2016,10,Closer,The Chainsmokers feat Halsey,"My Spotify 2017 Top 100 Tracks Explained Lyrics1. Closer - The Chainsmokers feat. Halsey
2. Pool - Paramore
3. Drive - Kids in Glass Houses
4. Dirty Laundry - All Time Low
5. Going Nowhere - Fifth Harmony
6. Havana - Camila Cabello
7. He Like That - Fifth Harmony
8. City of Stars - La La Land
9. Somebody Else - The 1975
10. Dope - Fifth Harmony
11. I Have Questions - Camila Cabello
12. Life of the Party - All Time Low
13. Medo Bobo - Maiara e Maraísa
14. One Step at a Time - Jordin Sparks
15. Scared of Happy - Fifth Harmony
16. OMG - Camila Cabello
17. New Rules - Dua Lipa
18. Good Times - All Time Low
19. Shattered - Trading Yesterday
20. Worth It - Fifth Harmony
21. Crying in the Club - Camila Cabello
22. That's My Girl - Fifth Harmony
23. Last Young Renegade - All Time Low
24. Sonnet - The Verve
25. Look What You Made Me Do - Taylor Swift
26. Nice2KnoU - All Time Low
27. Training Wheels - Melanie Martinez
28. Break Out! Break Out! - All Time Low
29. I Know What You Did Last Summer - Shawn Mendes feat. Camila Cabello
30. Bad Things - MGK feat. Camila Cabello
31. Ground Control - All Time Low feat. Tegan and Sara
32. The Climb - Miley Cyrus
33. Hard Times - Paramore
34. Miss Movin' On - Fifth Harmony
35. Love Incredible - Cashmere Cat feat. Camila Cabello
36. Coffee Shop Soundtrack - All Time Low
37. Girls Like Girls - Hayley Kiyoko
38. Make You mad - Fifth Harmony
39. Stigmatized - The Calling
40. distance - Christina Perri feat. Jason Mraz
41. Drugs & Candy - All Time Low
42. Here We Go Again - Paramore
43. Hold On Till May - Pierce The Veil
44. Brave Honest Beautiful - Fifth Harmony
45. Missing You - All Time Low
46. Last Hope - Paramore
47. If I Were a Boy - Beyoncé
48. Epilogue - La La Land
49. Lonely Night - Fifth Harmony
50. Olha o que o amor me faz - Sandy & Junior
51. Sick Little Games - All Time Low
52. Strangers - Halsey feat. Lauren Jauregui
53. Lips of an Angel - Hinder
54. Kids in the Dark - All Time Low
55. Ordinary Life -Simple Plan
56. Need You Now - Lady Antebellum
57. I'm In Love With a Monster - Fifth Harmony
58. Rose-Colored Boy - Paramore
59. Green Light - Lorde
60. Cool For The Summer - Demi Lovato
61. Let It Roll - All Time Low
62. Wish You Well - Thousand Foot Krutch
63. Mine - Taylor Swift
64. Bleeding Love - Leona Lewis
65. Who Are You? - Fifth Harmony
66. Where Did You Go? - Valencia
67. Que Bailes Conmigo Hoy - Fifth Harmony
68. Mercy - Shawn Mendes
69. Snuff - Slipknot
70. Little Things - One Direction
71. Never Grow Up - Taylor Swift
72. Miracle - Paramore
73. Hell Above - Pierce The Veil
74. Lucy - Skillet
75. Outta My System - Simple Plan
76. The Girl's a Straight-Up Hustler - All Time Low
77. How You Remind Me - Avril Lavigne
78. Lost In Stereo - All Time Low
79. Leave Out All The Rest - Linkin Park
80. Monster - Paramore
81. Sign of the Times - Harry Styles
82. Photograph - Ed Sheeran
83. The Beach - All Time Low
84. Gotta Go My Own Way - High School Musical 2
85. Still Into You - Paramore
86. Dear Maria, Count Me In - All Time Low
87. The Rest of Us - Simple Plan
88. Strip That Down - Liam Payne feat. Quavo
89. I Don't Wanna Be In Love (Dance Floor Anthem) - Good Charlotte
90. Losing Grip - Avril Lavigne
91. Witness - Katy Perry
92. The Reckless and the Brave - All Time Low
93. I Don't Care - Fall Out Boy
94. Somewhere in Neverland - All Time Low
95. Untitled - Simple Plan
96. I Never Told You - Colbie Caillat
97. Emergency - Paramore
98. Jar of Hearts - Christina Perri
99. Jasey Rae - All Time Low
100. Walls Could Talk - HalseyEmbed"
2016,11,Cheap Thrills,Sia feat Sean Paul,"New Music Friday 04/15/16 LyricsDrake - One Dance feat. Kyla & WizKid
AlunaGeorge - I Remember feat. Flume
Terror Jr - 3 Strikes
Boyce Avenue - Imperfect Me
KONGOS - Take It From Me
Justin Jay - What Do You Want feat. Josh Taylor & Benny Bridges
Handsome Ghost - Graduate
Lush & Simon, Gazzo - Wasted Love feat. Robbie Rosen
Snakehips - Dímelo feat. Tory Lanez
Drake - Pop Style feat. The Throne
A$AP Ferg - Strive feat. Missy Elliott
Rae Sremmurd - Look Alive
K CAMP - 5 Minutes feat. 2 Chainz
Tom Odell - Magnetized
P!nk - Just Like Fire
James TW - Naked
Bear Hands - Déjà Vu
Lauren Aquilina - Kicks
The Avett Brothers - Ain't No Man
Young the Giant - Amerika
The Temper Trap - Fall Together
Draper - Break Over You feat. Prides
Frenship - Capsize feat. Emily Warren
Don Diablo - Silence feat. Dave Thomas Junior
Brett Dennen - Cassidy
Yoke Lore - Hold Me Down
Layne - Good
The Chainsmokers - Don't Let Me Down feat. Daya (W&W Remix)
LE YOUTH - Boomerang feat. Tay Beckham
Zhu - In the Morning feat. Kaskade
Classixx - Just Let Go feat. How to Dress Well
Jordan Fisher - All About Us
Conrad Sewell - Remind Me (Steve James Remix)
Meghan Trainor - I Love Me feat. Lunchmoney Lewis
Sia - Cheap Thrills feat. Sean Paul (RAC Remix)
Snakehips - Falling feat. Malika
Edward Sharpe & The Magnetic Zeros - No Love Like Yours
Ciaran Lavery - Okkervil River
Phoria - Everything Beta
Naomi Pilgrim - Sink Like a Stone
Charlotte Cardin - Like It Doesn't Hurt feat. Husser
Tritonal - Blackout feat. Steph Jones (Madison Mars Radio Mix)
Conro - City Lights feat. Royal
Sigala - Give Me Your Love feat. John Newman & Nile Rodgers
Sturgill Simpson - In Bloom
Yung - Uncombed Hair
Against the Current - Forget me Now
Andy Black - Ribcage
Demo Taped - Game On
GOLDHOUSE - On & OnEmbed"
2016,12,7 Years,Lukas Graham,"TranslationsΕλληνικά7 Years Lyrics[Chorus]
Once, I was seven years old, my mama told me
""Go make yourself some friends, or you'll be lonely""
Once, I was seven years old

[Verse 1]
It was a big, big world, but we thought we were bigger
Pushing each other to the limits, we were learning quicker
By eleven, smoking herb and drinking burning liquor
Never rich, so we were out to make that steady figure

[Chorus]
Once, I was eleven years old, my daddy told me
""Go get yourself a wife, or you'll be lonely""
Once, I was eleven years old

[Verse 2]
I always had that dream like my daddy before me
So I started writing songs, I started writing stories
Something about that glory just always seemed to bore me
'Cause only those I really love will ever really know me

[Chorus]
Once, I was twenty years old, my story got told
Before the morning sun, when life was lonely
Once, I was twenty years old (Lukas Graham!)
You might also like[Verse 3]
I only see my goals, I don't believe in failure
'Cause I know the smallest voices, they can make it major
I got my boys with me, at least those in favor
And if we don't meet before I leave, I hope I'll see you later
[Chorus]
Once, I was twenty years old, my story got told
I was writing 'bout everything I saw before me
Once, I was twenty years old

[Bridge]
Soon, we'll be thirty years old, our songs have been sold
We've traveled around the world and we're still roaming
Soon, we'll be thirty years old

[Verse 4]
I'm still learning about life, my woman brought children for me
So I can sing them all my songs, and I can tell them stories
Most of my boys are with me, some are still out seeking glory
And some I had to leave behind, my brother, I'm still sorry

[Chorus]
Soon, I'll be sixty years old, my daddy got sixty-one
Remember life and then your life becomes a better one
I made a man so happy when I wrote a letter once
I hope my children come and visit once or twice a month
[Breakdown]
Soon, I'll be sixty years old, will I think the world is cold?
Or will I have a lot of children who can warm me?
Soon, I'll be sixty years old
Soon, I'll be sixty years old, will I think the world is cold?
Or will I have a lot of children who can hold me?
Soon, I'll be sixty years old

[Chorus]
Once, I was seven years old, my mama told me
""Go make yourself some friends, or you'll be lonely""
Once I was seven years old
Once I was seven years old197Embed"
2016,13,Needed Me,Rihanna,"TranslationsEspañolFrançaisNeeded Me Lyrics[Intro: YG]
Mustard on the beat, ho!

[Verse 1]
I was good on my own, that's the way it was
That's the way it was
You was good on the low for a faded fuck
On some faded love
Shit, what the fuck you complaining for?
Feeling jaded, huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I'll give it to you
[Pre-Chorus]
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

[Chorus]
You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me

[Verse 2]
You been rollin' around, shit I'm rollin' up
Light and roll it up
Break it down, like a pound, shit was never us
Shit was never us
That's the real, on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I'll give it to ya
You might also like[Pre-Chorus]
But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

[Chorus]
You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me284Embed"
2016,14,My House,Flo Rida,"My House Lyrics[Intro]
Open up the champagne, pop!
It's my house, come on, turn it up

[Verse 1]
Hear a knock on the door and the night begins
'Cause we done this before, so you come on in
Make yourself at my home, tell me where you been
Pour yourself something cold, baby, cheers to this

[Pre-Chorus]
Sometimes you gotta stay in
And you know where I live
Yeah, you know what we is
Sometimes you gotta stay in, in
[Chorus]
Welcome to my house
Baby, take control now
We can't even slow down
We don't have to go out
Welcome to my house
Play that music too loud
Show me what you do now
We don't have to go out

[Post-Chorus]
Welcome to my house
Welcome to my house

[Verse 2]
Morning comes and you know that you wanna stay
Close the blinds, let's pretend that the time has changed
Keep our clothes on the floor, open up champagne
Let's continue tonight, come on, celebrate (That's how we do)

[Pre-Chorus]
Sometimes you gotta stay in
And you know where I live (You know where I live)
Yeah, you know what we is (You know what we is)
Sometimes you gotta stay in, in (In, in)
You might also like[Chorus]
Welcome to my house
Baby, take control now (Now)
We can't even slow down
We don't have to go out (Out, out)
Welcome to my house
Play that music too loud (Turn it up, turn it up)
Show me what you do now (Show me now)
We don't have to go out (Go out, go out, uh)

[Post-Chorus]
Welcome to my house (It's my house, come on, bring a friend)
Welcome to my house

[Verse 3]
Welcome to my duck-off, the crib, the spot, the pad
But my house is your house if you throwin' it back
Excuse me if my home's draining the sad
Soon as these happy faces land you can run with the cash
Homerun, slam dunk, touchdown pass
Mi casa es tu casa, so it ain't no holding back
Another shot of vodka, you know what's in my glass
It's my house, just relax

[Chorus]
Welcome to my house
Baby (Hey), take control now (Woo, woo)
We can't even slow down (Hit the brakes, hit the brakes, go out)
We don't have to go out (Cheers to this)
Welcome to my house
Play that music too loud (Turn it up)
Show me what you do now
We don't have to go out (Go out)
[Post-Chorus]
(Ayy, ayy) Welcome to my house
(Ayy, ayy) Welcome to my house (It's my house, my house)
(Ayy, ayy) Welcome to my house (What?)

[Outro]
It's my house26Embed"
2016,15,I Took a Pill in Ibiza,Mike Posner,"I Took a Pill in Ibiza Lyrics[Verse 1]
I took a pill in Ibiza to show Avicii I was cool
And when I finally got sober, felt 10 years older
But fuck it, it was something to do
I'm living out in LA, I drive a sports car just to prove
I'm a real big baller 'cause I made a million dollars
And I spend it on girls and shoes
[Chorus]
But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster
And be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs
[Verse 2]
I'm just a singer who already blew his shot
I get along with old timers
'Cause my name's a reminder of a pop song people forgot
And I can't keep a girl, no
'Cause as soon as the sun comes up
I cut 'em all loose and work's my excuse
But the truth is I can't open up
[Chorus]
Now you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster
And be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs (Hey)

[Bridge]
I took a plane to my hometown
I brought my pride and my guitar
All my friends are all gone but there's manicured lawns
And the people still think I'm a star
I walked around downtown
I met some fans on Lafayette
They said tell us how to make it 'cause we're getting real impatient
So I looked 'em in the eye and said
You might also like[Chorus]
You don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster
And be all alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing
All I know are sad songs, sad songs
Darling, all I know are sad songs, sad songs82Embed"
2016,16,Work from Home,Fifth Harmony feat Ty Dolla Sign,"TranslationsPortuguêsΕλληνικάWork from Home Lyrics[Verse 1: Camila]
I ain't worried about nothin', I ain't wearin' na-nada
I'm sittin' pretty, impatient, but I know you gotta
Put in them hours, I'ma make it harder
I'm sendin' pic after picture, I'ma get you fired

[Pre-Chorus: Normani, Dinah]
I know you're always on the night shift
But I can't stand these nights alone (Oh-oh)
And I don't need no explanation
'Cause, baby, you're the boss at home
[Chorus: Lauren]
You don't gotta go to work
Work, work, work, work, work, work
But you gotta put in work
Work, work, work, work, work, work
You don't gotta go to work
Work, work, work, work, work, work
Let my body do the work
Work, work, work, work, work, work
We can work from home, oh-oh, oh-oh
We can work from home, oh-oh, oh-oh

[Verse 2: Ally, Ally & Dinah]
Let's put it into motion, I'ma give you a promotion
I'll make it feel like a vacay, turn the bed into an ocean
We don't need nobody, I just need your body
Nothing but sheets in-between us, ain't no getting off early

[Pre-Chorus: Dinah, Dinah & Camila, Camila]
I know you're always on the night shift
But I can't stand these nights alone (Oh-oh)
And I don't need no explanation
'Cause, baby, you're the boss at home (Yeah, yeah)

[Chorus: Lauren]
You don't gotta go to work
Work, work, work, work, work, work
But you gotta put in work
Work, work, work, work, work, work
You don't gotta go to work
Work, work, work, work, work, work
Let my body do the work
Work, work, work, work, work, work
We can work from home, oh-oh, oh-oh
We can work from home, oh-oh, oh-oh
You might also like[Bridge: Ty Dolla $ign]
(Dolla $ign) Oh, yeah
Girl go to work for me (Work for me)
Can you make it clap, no hands for me? (Oh, yeah)
Take it to the ground, pick it up for me
Look back at it all over me (Oh, yeah)
Put in work like my timesheet (Oh)
She ride it like a '63 (Oh-woah)
I'ma buy her new Céline (Oh, no)
Let her ride in a foreign with me
Oh, she the bae, I'm her boo
And she down to break the rules
Ride or die, she gon' go
I'm gon' juug, she finessin'
I pipe her, she take that
Put in overtime on your body

[Chorus: Lauren, Camila, Dinah, Lauren & Camila]
You don't gotta go to work (You don't gotta go to work, no)
Work, work, work, work, work, work
But you gotta put in work (Woah)
Work, work, work, work, work, work (Oh, yeah)
You don't gotta go to work
Work, work, work, work, work, work
Let my body do the work (Do the work, do the work)
Work, work, work, work, work, work (Yeah, yeah)
We can work from home, oh-oh, oh-oh
We can work from home, oh-oh, oh-oh
[Outro: Camila]
Yeah, we can work from home, ah
Yeah, we can work from home, oh-oh, oh-oh
Yeah58Embed"
2016,17,This Is What You Came For,Calvin Harris feat Rihanna,"TranslationsEspañolPortuguêsΕλληνικάThis Is What You Came For Lyrics[Chorus]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh
[Verse]
We go fast with the game we play (Game we play, game we play)
Who knows why it's gotta be this way (Be this way, be this way)
We say nothin' more than we need (Than we need, than we need)
I say, ""Your place"" when we leave

[Chorus]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh

[Bridge]
Baby, this is what you came for
Lightning strikes every time she moves
Yeah

[Chorus]
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watchin' her
But she's lookin' at
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh-ooh
You, ooh-ooh, you, ooh, ooh, oohSee Calvin Harris LiveGet tickets as low as $115You might also like76Embed"
2016,18,Cake by the Ocean,DNCE,"TranslationsPortuguêsCake by the Ocean Lyrics[Intro]
Nah, nah, nah
Cake by the ocean

[Verse 1]
Oh, no
See you walkin' 'round like it's a funeral
Not so serious, girl, why those feet cold?
We just gettin' started, don't you tiptoe, tiptoe, ah

[Pre-Chorus]
Waste time with a masterpiece, don't waste time with a masterpiece (Huh)
You should be rollin' with me, you should be rollin' with me (Ah-ah-ah)
You're a real-life fantasy, you're a real-life fantasy (Huh)
But you're movin' so carefully, let's start livin' dangerously
[Chorus]
Talk to me, baby
I'm goin' blind from this sweet, sweet cravin', whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I, I keep on hopin' we'll eat cake by the ocean, uh
Walk for me, baby
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I, I keep on hopin' we'll eat cake by the ocean, uh

[Verse 2]
Goddamn
See you lickin' frostin' from your own hands
Want another taste, I'm beggin', ""Yes, ma'am""
I'm tired of all this candy on the dry land, dry land, ooh (Uh, ah)

[Pre-Chorus]
Waste time with a masterpiece, don't waste time with a masterpiece (Huh)
You should be rollin' with me, you should be rollin' with me (Ah-ah-ah)
You're a real-life fantasy, you're a real-life fantasy (Huh)
But you're movin' so carefully, let's start livin' dangerously (Whoa-oh-oh-oh)

[Chorus]
Talk to me, baby
I'm goin' blind from this sweet, sweet cravin', whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I, I keep on hopin' we'll eat cake by the ocean, uh
Walk for me, baby (Walk for me now)
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go fucking crazy
I-I-I-I-I, I keep on hopin' we'll eat cake by the ocean, uh
You might also like[Bridge]
Ooh, ah, ah
I-I-I-I-I, I keep on hopin' we'll eat cake by the ocean, uh
Ooh, ah, ah
I-I-I-I-I, I keep on hopin' we'll eat cake by the ocean, uh (Oh, hey)

[Refrain]
You're fuckin' delicious, haha
Talk to me, girl (Hey)

[Chorus]
Talk to me, baby (Talk to me, baby, hey)
I'm goin' blind from this sweet, sweet cravin', whoa-oh (Whoa-oh)
Let's lose our minds and go fucking crazy (Crazy)
I-I-I-I-I (Ah), I keep on hopin' we'll eat cake by the ocean, uh (Hey)
Walk for me, baby (Walk for me now)
I'll be Diddy, you'll be Naomi, whoa-oh
Let's lose our minds and go (And go what?) fucking crazy (That's right)
I-I-I-I-I, I keep on hopin' (Alright), we'll eat cake by the ocean, uh (Aw, yeah)

[Outro]
Red velvet, vanilla, chocolate in my life
Funfetti (Oh), I'm ready (Oh), I need it every night (Hey)
Red velvet, vanilla, chocolate in my life (Oh)
I-I-I-I-I keep on hopin' we'll eat cake by the ocean52Embed"
